                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 0.8448,                0.44058,                 1.0148,                0.99895,                      1,                  0.995,                 0.7229,                0.98974,                 0.3952,                 1.0898,               0.000812,               0.000812,               0.000812
                     62,                0.83954,                0.41499,                 1.0068,                0.99904,                      1,                  0.995,                0.73886,                  1.019,                 0.3811,                 1.0757,              0.0007922,              0.0007922,              0.0007922
                     63,                0.83493,                0.41954,                  1.005,                0.99889,                      1,                  0.995,                0.71464,                  1.094,                0.41082,                 1.0999,              0.0007724,              0.0007724,              0.0007724
                     64,                0.82349,                0.41798,                0.99582,                0.99888,                      1,                  0.995,                0.74539,                 1.0323,                0.38808,                 1.0935,              0.0007526,              0.0007526,              0.0007526
                     65,                 0.8003,                0.40808,                0.98359,                0.99904,                      1,                  0.995,                0.72154,                  1.041,                0.39627,                 1.0788,              0.0007328,              0.0007328,              0.0007328
                     66,                 0.8123,                0.41908,                 0.9798,                0.99895,                      1,                  0.995,                 0.7281,                 1.0376,                0.39076,                 1.1014,               0.000713,               0.000713,               0.000713
                     67,                0.81186,                0.41448,                0.98661,                0.99901,                      1,                  0.995,                0.73058,                 1.0582,                0.38997,                 1.1004,              0.0006932,              0.0006932,              0.0006932
                     68,                0.79526,                0.40566,                0.98119,                0.99907,                      1,                  0.995,                 0.7067,                 1.1749,                0.42279,                 1.1399,              0.0006734,              0.0006734,              0.0006734
                     69,                0.82093,                0.40685,                0.99232,                0.99901,                      1,                  0.995,                0.72604,                 1.0867,                0.38871,                 1.1103,              0.0006536,              0.0006536,              0.0006536
                     70,                0.81139,                0.40884,                0.98523,                0.99902,                      1,                  0.995,                0.75493,                 1.0416,                0.39974,                  1.085,              0.0006338,              0.0006338,              0.0006338
                     71,                0.75964,                0.38391,                0.96024,                0.99891,                      1,                  0.995,                0.72487,                 1.1539,                0.40436,                 1.1301,               0.000614,               0.000614,               0.000614
                     72,                0.79015,                 0.3931,                0.96738,                0.99898,                      1,                  0.995,                0.71565,                 1.0897,                0.39648,                 1.1247,              0.0005942,              0.0005942,              0.0005942
